"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PI3","3.873","4.613","6.542","5.547e-9","0.000001961","10.33"
"CHI3L1","3.822","14.54","7.599","5.254e-11","8.285e-8","14.76"
"MYBPH","3.518","5.056","7.354","1.565e-10","1.783e-7","13.72"
"LTF","3.492","10.14","4.554","0.0000189","0.0005606","2.639"
"SAA2","3.48","4.179","4.643","0.00001348","0.000445","2.956"
"SAA1","3.309","5.722","4.276","0.00005283","0.001106","1.677"
"GALNT5","3.216","3.871","7.093","4.973e-10","3.398e-7","12.63"
"ABCC3","3.211","9.075","8.179","3.929e-12","2.014e-8","17.23"
"MARCO","3.181","4.032","5.319","9.481e-7","0.00006817","5.457"
"MMP7","2.93","4.641","4.718","0.00001012","0.0003611","3.225"
"IL2RA","2.866","3.882","5.369","7.73e-7","0.0000598","5.65"
"CA9","2.829","6.771","4.744","0.000009168","0.0003368","3.318"
"NUAK2","2.714","7.049","16.04","1.467e-26","3.007e-22","48.15"
"LIF","2.707","7.539","6.734","2.407e-9","0.000001015","11.13"
"WDR63","2.672","3.223","5.896","8.76e-8","0.00001403","7.712"
"CXCL3","2.666","4.815","5.819","1.211e-7","0.00001749","7.405"
"PLA2G2A","2.657","6.563","3.842","0.0002452","0.003223","0.2496"
"IBSP","2.56","6.042","4.489","0.00002405","0.0006575","2.413"
"WDR38","2.529","3.235","4.381","0.00003597","0.0008458","2.036"
"TEKT1","2.525","3.773","4.402","0.00003325","0.0008104","2.11"
"FAM183A","2.513","2.828","4.395","0.00003416","0.0008248","2.084"
"C7orf57","2.512","4.391","4.267","0.00005465","0.001135","1.645"
"SCNN1B","2.501","4.595","4.141","0.00008597","0.001558","1.223"
"FCGR2B","2.486","6.93","5.595","3.068e-7","0.00003336","6.524"
"F13A1","2.47","9.06","5.156","0.000001824","0.0001116","4.839"
"C2orf39","2.467","4.613","4.362","0.00003852","0.0008764","1.972"
"CSF3","2.465","2.711","4.456","0.00002725","0.0007097","2.296"
"TNFSF14","2.453","2.209","7.015","7.016e-10","4.358e-7","12.3"
"CCDC135","2.415","4.208","6.14","3.116e-8","0.000006776","8.693"
"HP","2.413","6.524","4.481","0.0000248","0.0006663","2.384"
"CD163","2.393","10.55","6.167","2.778e-8","0.000006472","8.802"
"LOX","2.375","8.741","6.839","1.518e-9","7.589e-7","11.56"
"C13orf26","2.363","4.057","5.451","5.537e-7","0.00004859","5.966"
"PTX3","2.361","8.278","6.024","5.106e-8","0.000009604","8.224"
"LRRC15","2.356","3.195","5.495","4.626e-7","0.00004474","6.136"
"SERPINE1","2.345","11.01","6.762","2.133e-9","9.507e-7","11.24"
"TREM1","2.332","6.325","5.108","0.00000221","0.0001245","4.658"
"FAM65C","2.331","6.818","8.369","1.669e-12","1.515e-8","18.04"
"COL8A1","2.328","6.688","5.332","8.996e-7","0.00006611","5.507"
"RARRES2","2.313","8.875","6.315","1.479e-8","0.00000399","9.401"
"SLPI","2.31","6.739","4.392","0.00003448","0.0008283","2.076"
"CCDC19","2.302","3.852","5.454","5.483e-7","0.00004859","5.975"
"FAM81B","2.288","2.111","3.887","0.00021","0.002906","0.3932"
"CXCL6","2.285","2.455","4.186","0.00007328","0.001396","1.372"
"DMRTA2","2.284","6.672","4.344","0.00004127","0.0009207","1.908"
"SPOCD1","2.262","9.734","4.908","0.000004855","0.0002127","3.916"
"ABCA13","2.234","4.157","4.916","0.000004705","0.0002087","3.945"
"ALDH3A1","2.219","4.181","4.854","0.000005985","0.0002464","3.719"
"IL1R2","2.216","4.13","4.563","0.00001823","0.0005474","2.672"
"CXCL5","2.203","4.838","4.475","0.00002533","0.000676","2.364"
"SOCS3","2.188","10.14","7.192","3.206e-10","2.355e-7","13.04"
"CLCF1","2.176","6.761","7.57","5.981e-11","8.758e-8","14.64"
"CFB","2.159","8.07","5.939","7.3e-8","0.0000121","7.885"
"SLC47A2","2.151","7.135","5.226","0.000001376","0.00009188","5.105"
"APCDD1L","2.148","2.871","3.786","0.0002969","0.003652","0.07287"
"FAM92B","2.139","1.188","4.569","0.00001786","0.0005401","2.692"
"DDIT4L","2.124","7.545","4.873","0.000005559","0.0002341","3.788"
"CCL20","2.103","3.401","4.593","0.0000163","0.0005071","2.777"
"CHRDL2","2.096","3.637","4.042","0.0001223","0.001996","0.8952"
"CP","2.092","9.208","4.921","0.000004621","0.0002081","3.962"
"AHNAK2","2.064","7.863","5.031","0.000002998","0.0001541","4.37"
"C6orf141","2.036","4.987","4.33","0.00004343","0.0009572","1.86"
"CCDC42B","2.031","3.855","4.531","0.0000206","0.000594","2.558"
"C19orf59","2.031","2.23","4.63","0.00001418","0.0004631","2.908"
"ANXA1","2.028","12.11","7.289","2.092e-10","1.977e-7","13.45"
"AIM1","2.022","6.788","6.468","7.652e-9","0.000002479","10.03"
"FER1L4","2.019","4.479","4.136","0.00008758","0.001578","1.206"
"HK3","2.018","6.189","6.329","1.391e-8","0.000003853","9.459"
"C21orf62","2.008","9.387","5.414","6.459e-7","0.00005427","5.82"
"FPR2","1.999","4.123","4.912","0.000004789","0.0002113","3.929"
"FOXJ1","1.996","8.555","4.703","0.00001073","0.0003772","3.17"
"PDZK1IP1","1.995","3.85","4.691","0.00001121","0.0003882","3.129"
"EVC2","1.983","5.924","5.668","2.273e-7","0.00002679","6.808"
"HAMP","1.98","6.852","4.675","0.00001194","0.0004082","3.07"
"BIRC3","1.977","6.714","6.028","5.031e-8","0.000009549","8.238"
"SCNN1G","1.975","3.168","4.003","0.0001402","0.002201","0.7679"
"SAA4","1.974","0.9126","4.452","0.00002765","0.0007148","2.282"
"AREG","1.969","2.763","3.828","0.0002577","0.003314","0.2036"
"TNFSF12.TNFSF13","1.965","7.042","4.873","0.000005562","0.0002341","3.788"
"AQP9","1.924","5.979","4.09","0.0001031","0.001768","1.053"
"COL1A1","1.922","10.99","4.415","0.00003175","0.0007843","2.153"
"KLHDC7A","1.918","2.211","3.704","0.0003919","0.004447","-0.1834"
"CD44","1.918","13.12","7.184","3.331e-10","2.355e-7","13.01"
"ZNF474","1.917","3.851","6.173","2.717e-8","0.00000644","8.823"
"KCNN4","1.909","5.536","5.429","6.073e-7","0.00005166","5.878"
"KRT7","1.909","3.737","5.128","0.000002042","0.0001206","4.732"
"S100A10","1.909","11.49","5.857","1.032e-7","0.00001579","7.557"
"TCTEX1D1","1.906","6.25","4.339","0.00004199","0.0009348","1.891"
"CELSR1","1.906","7.155","5.023","0.000003094","0.0001562","4.34"
"MAK","1.904","3.809","6.222","2.196e-8","0.000005489","9.025"
"IL8","1.902","8.038","3.435","0.0009488","0.008341","-0.9955"
"C15orf48","1.902","4.285","4.773","0.00000819","0.0003162","3.424"
"CA12","1.898","10.06","5.325","9.239e-7","0.00006741","5.481"
"PPL","1.897","6.844","4.38","0.00003603","0.0008458","2.034"
"CCL18","1.894","2.907","3.09","0.002767","0.01782","-1.969"
"SFN","1.89","3.549","4.633","0.000014","0.0004592","2.92"
"C1orf158","1.888","3.023","2.896","0.004887","0.02688","-2.48"
"CHI3L2","1.888","11.14","4.264","0.00005523","0.001143","1.635"
"FCGBP","1.884","12.2","5.457","5.416e-7","0.00004827","5.986"
"KRT80","1.883","2.649","5.32","9.424e-7","0.00006817","5.463"
"STEAP3","1.876","10.3","6.732","2.425e-9","0.000001015","11.12"
"TREML3","1.875","2.132","4.957","0.000004005","0.0001896","4.097"
"PLAU","1.874","9.037","5.967","6.512e-8","0.00001113","7.993"
"CLEC5A","1.874","7.539","5.22","0.000001412","0.00009401","5.08"
"PLP2","1.871","10","6.609","4.151e-9","0.000001576","10.61"
"KRT75","1.866","2.976","3.6","0.0005532","0.005688","-0.5008"
"ALOX15B","1.866","5.083","3.742","0.0003452","0.004044","-0.06629"
"CCDC37","1.861","1.951","3.543","0.0006668","0.0065","-0.6723"
"CLDN23","1.858","4.682","6.224","2.179e-8","0.000005489","9.033"
"C2orf62","1.856","2.141","4.472","0.00002562","0.0006798","2.353"
"MAOB","1.851","11.55","4.907","0.000004881","0.0002129","3.911"
"CXCL1","1.841","4.7","4.405","0.00003285","0.0008046","2.121"
"HPD","1.835","4.497","3.666","0.0004455","0.004901","-0.3014"
"DPYD","1.834","9.335","7.501","8.162e-11","1.116e-7","14.34"
"CCL7","1.834","1.231","3.764","0.0003198","0.003825","0.004142"
"VDR","1.831","5.073","5.937","7.368e-8","0.0000121","7.876"
"TIMP1","1.828","12.31","6.465","7.738e-9","0.000002479","10.02"
"C13orf33","1.826","4.261","4.091","0.0001028","0.001766","1.057"
"RNASE2","1.818","6.216","5.381","7.367e-7","0.00005818","5.695"
